IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
152.67.203.34,443,TRUE,ICN,Asia Pacific,Seoul,97 ms,5938 kB/s
144.24.68.35,443,TRUE,SIN,Asia Pacific,Singapore,146 ms,5870 kB/s
8.219.195.68,443,TRUE,SIN,Asia Pacific,Singapore,123 ms,5845 kB/s
141.144.197.111,443,TRUE,AMS,Europe,Amsterdam,193 ms,5743 kB/s
8.219.201.68,443,TRUE,SIN,Asia Pacific,Singapore,146 ms,5569 kB/s
141.144.235.66,443,TRUE,FRA,Europe,Frankfurt,196 ms,5562 kB/s
141.144.192.36,443,TRUE,FRA,Europe,Frankfurt,198 ms,5449 kB/s
193.123.33.46,443,TRUE,FRA,Europe,Frankfurt,260 ms,5291 kB/s
141.144.192.172,443,TRUE,FRA,Europe,Frankfurt,237 ms,5229 kB/s
8.222.226.103,443,TRUE,SIN,Asia Pacific,Singapore,236 ms,5225 kB/s
129.153.223.37,443,TRUE,LAX,North America,Los Angeles,216 ms,5159 kB/s
8.219.128.5,443,TRUE,SIN,Asia Pacific,Singapore,127 ms,5111 kB/s
193.123.33.167,443,TRUE,FRA,Europe,Frankfurt,223 ms,5104 kB/s
144.24.86.158,443,TRUE,ICN,Asia Pacific,Seoul,125 ms,5069 kB/s
141.148.238.1,443,TRUE,FRA,Europe,Frankfurt,332 ms,5040 kB/s
8.219.73.178,443,TRUE,SIN,Asia Pacific,Singapore,104 ms,5036 kB/s
8.222.150.244,443,TRUE,SIN,Asia Pacific,Singapore,230 ms,5025 kB/s
8.222.210.183,443,TRUE,SIN,Asia Pacific,Singapore,226 ms,4998 kB/s
158.180.69.87,443,TRUE,SIN,Asia Pacific,Singapore,142 ms,4968 kB/s
193.122.97.248,443,TRUE,ICN,Asia Pacific,Seoul,87 ms,4929 kB/s
141.148.238.147,443,TRUE,FRA,Europe,Frankfurt,222 ms,4900 kB/s
141.144.255.54,443,TRUE,FRA,Europe,Frankfurt,318 ms,4844 kB/s
144.21.32.165,443,TRUE,FRA,Europe,Frankfurt,321 ms,4809 kB/s
138.2.122.55,443,TRUE,SIN,Asia Pacific,Singapore,353 ms,4780 kB/s
8.222.249.129,443,TRUE,SIN,Asia Pacific,Singapore,237 ms,4767 kB/s
8.219.134.174,443,TRUE,SIN,Asia Pacific,Singapore,147 ms,4766 kB/s
141.144.200.167,443,TRUE,FRA,Europe,Frankfurt,218 ms,4733 kB/s
130.162.233.200,443,TRUE,FRA,Europe,Frankfurt,298 ms,4679 kB/s
8.219.63.198,443,TRUE,SIN,Asia Pacific,Singapore,115 ms,4645 kB/s
141.144.205.24,443,TRUE,FRA,Europe,Frankfurt,225 ms,4588 kB/s
193.123.38.208,443,TRUE,FRA,Europe,Frankfurt,219 ms,4544 kB/s
140.238.5.32,443,TRUE,ICN,Asia Pacific,Seoul,84 ms,4415 kB/s
140.238.126.247,443,TRUE,FRA,Europe,Frankfurt,213 ms,4386 kB/s
129.154.212.68,443,TRUE,SIN,Asia Pacific,Singapore,131 ms,4376 kB/s
144.24.84.89,443,TRUE,SIN,Asia Pacific,Singapore,353 ms,4373 kB/s
8.219.2.235,443,TRUE,SIN,Asia Pacific,Singapore,96 ms,4339 kB/s
158.101.87.55,443,TRUE,SIN,Asia Pacific,Singapore,231 ms,4197 kB/s
141.147.96.65,443,TRUE,FRA,Europe,Frankfurt,296 ms,4164 kB/s
193.123.183.24,443,TRUE,FRA,Europe,Frankfurt,297 ms,4162 kB/s
146.56.101.141,443,TRUE,ICN,Asia Pacific,Seoul,106 ms,4159 kB/s
144.24.78.162,443,TRUE,ICN,Asia Pacific,Seoul,103 ms,4112 kB/s
8.219.70.246,443,TRUE,SIN,Asia Pacific,Singapore,110 ms,4046 kB/s
158.180.65.145,443,TRUE,ICN,Asia Pacific,Seoul,115 ms,4027 kB/s
143.47.183.1,443,TRUE,FRA,Europe,Frankfurt,325 ms,4025 kB/s
8.219.140.25,443,TRUE,SIN,Asia Pacific,Singapore,356 ms,4017 kB/s
152.70.177.71,443,TRUE,FRA,Europe,Frankfurt,241 ms,3995 kB/s
141.148.226.21,443,TRUE,FRA,Europe,Frankfurt,219 ms,3957 kB/s
8.219.254.241,443,TRUE,SIN,Asia Pacific,Singapore,142 ms,3887 kB/s
8.222.234.139,443,TRUE,SIN,Asia Pacific,Singapore,226 ms,3847 kB/s
141.144.246.71,443,TRUE,FRA,Europe,Frankfurt,291 ms,3826 kB/s
152.70.26.153,443,TRUE,FRA,Europe,Frankfurt,327 ms,3805 kB/s
141.147.46.129,443,TRUE,FRA,Europe,Frankfurt,218 ms,3788 kB/s
144.24.73.232,443,TRUE,ICN,Asia Pacific,Seoul,144 ms,3640 kB/s
8.219.223.95,443,TRUE,SIN,Asia Pacific,Singapore,114 ms,3631 kB/s
140.238.23.148,443,TRUE,ICN,Asia Pacific,Seoul,89 ms,3620 kB/s
8.219.72.38,443,TRUE,SIN,Asia Pacific,Singapore,99 ms,3553 kB/s
132.226.171.31,443,TRUE,SIN,Asia Pacific,Singapore,188 ms,3493 kB/s
8.222.242.115,443,TRUE,SIN,Asia Pacific,Singapore,243 ms,3449 kB/s
138.2.175.76,443,TRUE,FRA,Europe,Frankfurt,307 ms,3433 kB/s
64.110.76.50,443,TRUE,SIN,Asia Pacific,Singapore,188 ms,3380 kB/s
193.123.60.138,443,TRUE,FRA,Europe,Frankfurt,237 ms,3328 kB/s
193.122.125.111,443,TRUE,SIN,Asia Pacific,Singapore,126 ms,3323 kB/s
192.9.158.188,443,TRUE,SJC,North America,San Jose,228 ms,3316 kB/s
138.2.137.11,443,TRUE,FRA,Europe,Frankfurt,322 ms,3286 kB/s
152.67.102.137,443,TRUE,SYD,Oceania,Sydney,196 ms,3268 kB/s
138.2.144.101,443,TRUE,FRA,Europe,Frankfurt,221 ms,3203 kB/s
143.47.179.71,443,TRUE,FRA,Europe,Frankfurt,246 ms,3103 kB/s
158.101.209.76,443,TRUE,AMS,Europe,Amsterdam,218 ms,3097 kB/s
144.21.36.45,443,TRUE,FRA,Europe,Frankfurt,194 ms,3089 kB/s
138.2.150.70,443,TRUE,FRA,Europe,Frankfurt,296 ms,3063 kB/s
193.123.254.17,443,TRUE,SIN,Asia Pacific,Singapore,225 ms,3059 kB/s
8.219.97.247,443,TRUE,SIN,Asia Pacific,Singapore,133 ms,8397 kB/s
8.219.254.109,443,TRUE,SIN,Asia Pacific,Singapore,181 ms,7904 kB/s
193.122.110.139,443,TRUE,SIN,Asia Pacific,Singapore,170 ms,7754 kB/s
152.67.203.34,443,TRUE,ICN,Asia Pacific,Seoul,157 ms,7422 kB/s
8.219.100.233,443,TRUE,SIN,Asia Pacific,Singapore,160 ms,7303 kB/s
130.162.141.143,443,TRUE,SIN,Asia Pacific,Singapore,185 ms,7010 kB/s
158.180.88.204,443,TRUE,SIN,Asia Pacific,Singapore,189 ms,8629 kB/s
47.74.42.114,443,TRUE,NRT,Asia Pacific,Tokyo,120 ms,8520 kB/s
193.122.125.223,443,TRUE,ICN,Asia Pacific,Seoul,125 ms,8228 kB/s
8.219.162.141,443,TRUE,SIN,Asia Pacific,Singapore,195 ms,8915 kB/s
130.162.135.235,443,TRUE,SIN,Asia Pacific,Singapore,189 ms,8801 kB/s
152.70.240.245,443,TRUE,SIN,Asia Pacific,Singapore,214 ms,8761 kB/s
144.24.87.250,443,TRUE,SIN,Asia Pacific,Singapore,189 ms,8537 kB/s
8.219.68.66,443,TRUE,SIN,Asia Pacific,Singapore,137 ms,8427 kB/s
152.69.224.39,443,TRUE,SIN,Asia Pacific,Singapore,188 ms,8344 kB/s
8.219.118.2,443,TRUE,SIN,Asia Pacific,Singapore,143 ms,8298 kB/s
138.2.123.70,443,TRUE,ICN,Asia Pacific,Seoul,169 ms,8276 kB/s
8.219.11.168,443,TRUE,SIN,Asia Pacific,Singapore,155 ms,8935 kB/s
140.238.5.32,443,TRUE,ICN,Asia Pacific,Seoul,106 ms,8890 kB/s
8.219.172.60,443,TRUE,SIN,Asia Pacific,Singapore,161 ms,8735 kB/s
140.238.23.148,443,TRUE,ICN,Asia Pacific,Seoul,96 ms,8599 kB/s
146.56.101.141,443,TRUE,ICN,Asia Pacific,Seoul,152 ms,8430 kB/s
129.154.207.203,443,TRUE,ICN,Asia Pacific,Seoul,119 ms,8007 kB/s
131.186.27.112,2096,TRUE,ICN,Asia Pacific,Seoul,105 ms,8603 kB/s
131.186.25.156,2087,TRUE,ICN,Asia Pacific,Seoul,84 ms,8167 kB/s
